t_s,ADC_mean
0.232,2174.66666666667
0.233,2176.66666666667
0.234,2174
0.235,2175.66666666667
0.236,2174.33333333333
0.237,2175
0.238,2175
0.239,2204.33333333333
0.24,2176
0.241,2182
0.242,2176
0.243,2178.33333333333
0.244,2174.33333333333
0.245,2176.66666666667
0.246,2171.66666666667
0.247,2187.66666666667
0.248,2175.33333333333
0.249,2176
0.25,2175.33333333333
0.251,2181.66666666667
0.252,2177
0.253,2177.33333333333
0.254,2171
0.255,2176.33333333333
0.256,2178.66666666667
0.257,2175.66666666667
0.258,2181.33333333333
0.259,2181.33333333333
0.26,2180.66666666667
0.261,2175.33333333333
0.262,2179
0.263,2184.33333333333
0.264,2179
0.265,2175.33333333333
0.266,2178.66666666667
0.267,2180
0.268,2184.33333333333
0.269,2178.66666666667
0.27,2180
0.271,2179.33333333333
0.272,2196
0.273,2177
0.274,2185.33333333333
0.275,2177.66666666667
0.276,2178.33333333333
0.277,2174.66666666667
0.278,2176.66666666667
0.279,2177
0.28,2170.66666666667
0.281,2175.33333333333
0.282,2172.33333333333
0.283,2179
0.284,2187
0.285,2178.33333333333
0.286,2178.33333333333
0.287,2175
0.288,2178.66666666667
0.289,2179.66666666667
0.29,2184
0.291,2182.33333333333
0.292,2175.33333333333
0.293,2176.33333333333
0.294,2175.66666666667
0.295,2173.33333333333
0.296,2178
0.297,2176.66666666667
0.298,2180.33333333333
0.299,2179.33333333333
0.3,2175.33333333333
0.301,2176
0.302,2181.33333333333
0.303,2179.33333333333
0.304,2178.33333333333
0.305,2176.66666666667
0.306,2175.33333333333
0.307,2179
0.308,2186.66666666667
0.309,2174
0.31,2189.66666666667
0.311,2177.66666666667
0.312,2175
0.313,2176
0.314,2175
0.315,2171.66666666667
0.316,2173.33333333333
0.317,2175.33333333333
0.318,2175.33333333333
0.319,2177
0.32,2190
0.321,2175.66666666667
0.322,2182
0.323,2177.66666666667
0.324,2178
0.325,2176
0.326,2172
0.327,2177
0.328,2171
0.329,2178
0.33,2176
0.331,2180
0.332,2175.33333333333
0.333,2181.33333333333
0.334,2177
0.335,2178.33333333333
0.336,2174
0.337,2185.33333333333
0.338,2182.33333333333
0.339,2187.66666666667
0.34,2180
0.341,2178
0.342,2181.66666666667
0.343,2176.66666666667
0.344,2171.33333333333
0.345,2177
0.346,2176.33333333333
0.347,2177
0.348,2174.66666666667
0.349,2178.66666666667
0.35,2170
0.351,2172.33333333333
0.352,2172
0.353,2177
0.354,2184
0.355,2174.66666666667
0.356,2174.33333333333
0.357,2179
0.358,2181
0.359,2188.33333333333
0.36,2180.66666666667
0.361,2176
0.362,2179
0.363,2173.33333333333
0.364,2176.33333333333
0.365,2179.33333333333
0.366,2177.33333333333
0.367,2178.66666666667
0.368,2178
0.369,2175
0.37,2173.66666666667
0.371,2174.66666666667
0.372,2175.66666666667
0.373,2180.66666666667
0.374,2188.33333333333
0.375,2176.33333333333
0.376,2171.33333333333
0.377,2178.33333333333
0.378,2178
0.379,2179.66666666667
0.38,2179.66666666667
0.381,2177.66666666667
0.382,2175.66666666667
0.383,2174.66666666667
0.384,2175.33333333333
0.385,2177.66666666667
0.386,2176
0.387,2186.33333333333
0.388,2175.66666666667
0.389,2179
0.39,2175.66666666667
0.391,2179
0.392,2175.33333333333
0.393,2178
0.394,2174.66666666667
0.395,2182.33333333333
0.396,2178
0.397,2176
0.398,2175.66666666667
0.399,2178.66666666667
0.4,2171.66666666667
0.401,2177.66666666667
0.402,2174
0.403,2177.33333333333
0.404,2176.33333333333
0.405,2176.66666666667
0.406,2177
0.407,2179.33333333333
0.408,2196
0.409,2178.33333333333
0.41,2177.33333333333
0.411,2171.66666666667
0.412,2177.66666666667
0.413,2178.33333333333
0.414,2172.66666666667
