t_s,ADC_mean
0.657,2101
0.658,2107.5
0.659,2100
0.66,2110
0.661,2109
0.662,2101
0.663,2104.5
0.664,2104.5
0.665,2111.5
0.666,2108.5
0.667,2100.5
0.668,2101
0.669,2103
0.67,2105
0.671,2104
0.672,2105
0.673,2109.5
0.674,2106.5
0.675,2111.5
0.676,2100
0.677,2101.5
0.678,2100.5
0.679,2110
0.68,2113
0.681,2099.5
0.682,2102.5
0.683,2102
0.684,2105.5
0.685,2105
0.686,2127
0.687,2101
0.688,2103.5
0.689,2124.5
0.69,2102.5
0.691,2108.5
0.692,2106
0.693,2107
0.694,2105
0.695,2102
0.696,2100.5
0.697,2102
0.698,2105
0.699,2110.5
0.7,2103.5
0.701,2098
0.702,2100.5
0.703,2107
0.704,2100
0.705,2103
0.706,2112
0.707,2109
0.708,2105
0.709,2101.5
0.71,2098
0.711,2106.5
0.712,2106
0.713,2102.5
0.714,2101.5
0.715,2110
0.716,2104
0.717,2109.5
0.718,2108
0.719,2104
0.72,2101.5
0.721,2121
0.722,2106.5
0.723,2101.5
0.724,2125.5
0.725,2105
0.726,2106.5
0.727,2096.5
0.728,2105
0.729,2105.5
0.73,2098.5
0.731,2114
0.732,2108.5
0.733,2101
0.734,2106.5
0.735,2098.5
0.736,2103.5
0.737,2111.5
0.738,2107
0.739,2107
0.74,2104.5
0.741,2106.5
0.742,2107
0.743,2104
0.744,2102
0.745,2104.5
0.746,2108
0.747,2101
0.748,2108
0.749,2106
0.75,2099
0.751,2101
0.752,2104.5
0.753,2106
0.754,2102
0.755,2116
0.756,2112
0.757,2104.5
0.758,2108
0.759,2109
0.76,2109
0.761,2108.5
0.762,2105.5
0.763,2100.5
0.764,2106.5
0.765,2105.5
0.766,2105.5
0.767,2106
0.768,2101
0.769,2104.5
0.77,2100.5
0.771,2105
0.772,2100.5
0.773,2105.5
0.774,2102.5
0.775,2109.5
0.776,2106.5
0.777,2110
0.778,2106
0.779,2100
0.78,2109
0.781,2106.5
0.782,2106
0.783,2110
0.784,2106
0.785,2104
0.786,2130.5
0.787,2109
0.788,2112
0.789,2101
0.79,2104.5
0.791,2108
0.792,2101.5
0.793,2100.5
0.794,2110.5
0.795,2102.5
0.796,2106.5
0.797,2107
0.798,2107
0.799,2106.5
0.8,2113
0.801,2110
0.802,2110.5
0.803,2103.5
0.804,2102.5
0.805,2113.5
0.806,2110.5
0.807,2104
0.808,2100
0.809,2111
0.81,2101
0.811,2113.5
0.812,2107
0.813,2108.5
0.814,2110.5
0.815,2106
0.816,2105
0.817,2102.5
0.818,2105
0.819,2103.5
0.82,2121.5
0.821,2104.5
0.822,2100.5
0.823,2105.5
0.824,2107.5
0.825,2109
0.826,2113
0.827,2108
0.828,2112
0.829,2104
0.83,2108.5
0.831,2109.5
0.832,2103
0.833,2110.5
0.834,2105.5
0.835,2112.5
0.836,2106
0.837,2104.5
0.838,2107.5
0.839,2110
0.84,2103
0.841,2106.5
0.842,2104
0.843,2096.5
0.844,2105.5
0.845,2110.5
0.846,2106
0.847,2103.5
0.848,2111
0.849,2104.5
0.85,2094.5
0.851,2108
0.852,2106.5
0.853,2102.5
0.854,2106
0.855,2128
0.856,2100.5
0.857,2108.5
0.858,2104.5
0.859,2104.5
0.86,2100.5
0.861,2106.5
0.862,2103.5
0.863,2110
0.864,2106
0.865,2110
0.866,2101
0.867,2099.5
0.868,2108
0.869,2105.5
0.87,2107
0.871,2101
0.872,2120
0.873,2105
0.874,2106.5
0.875,2100.5
0.876,2114
0.877,2109.5
0.878,2101.5
0.879,2107.5
0.88,2100.5
0.881,2108
0.882,2110
0.883,2108
0.884,2102
0.885,2109.5
0.886,2102
0.887,2108
0.888,2126.5
0.889,2112.5
0.89,2108.5
0.891,2101.5
0.892,2102
0.893,2107.5
0.894,2100.5
0.895,2101
0.896,2105
0.897,2106
0.898,2106
0.899,2106.5
0.9,2109.5
0.901,2103.5
0.902,2111
0.903,2099.5
0.904,2105.5
0.905,2105.5
0.906,2104.5
0.907,2103
0.908,2105
0.909,2124
0.91,2102
0.911,2112.5
0.912,2106
0.913,2107
0.914,2107
0.915,2111.5
0.916,2115.5
0.917,2102.5
0.918,2104.5
0.919,2106
0.92,2106
0.921,2125
0.922,2110.5
0.923,2103
0.924,2100
0.925,2104
0.926,2101.5
0.927,2111
0.928,2105
0.929,2113
0.93,2109.5
0.931,2102
0.932,2106.5
0.933,2105
0.934,2107
0.935,2111
0.936,2103
0.937,2102
0.938,2108.5
0.939,2096.5
0.94,2099.5
0.941,2107
0.942,2116
0.943,2104.5
0.944,2111
0.945,2116
0.946,2103
0.947,2097.5
0.948,2110
0.949,2105.5
0.95,2104
0.951,2097.5
0.952,2126
0.953,2109.5
0.954,2100.5
0.955,2107.5
0.956,2099
0.957,2101.5
0.958,2104
0.959,2105.5
0.96,2109.5
0.961,2105
0.962,2099.5
0.963,2110
0.964,2101.5
0.965,2108.5
0.966,2106.5
0.967,2104.5
0.968,2097.5
0.969,2108.5
0.97,2104.5
0.971,2109.5
0.972,2105.5
0.973,2103
0.974,2101.5
0.975,2108.5
0.976,2103.5
0.977,2107
0.978,2105
0.979,2102.5
0.98,2112.5
0.981,2105
0.982,2133.5
0.983,2102.5
0.984,2106
0.985,2105.5
0.986,2120.5
0.987,2105.5
0.988,2103.5
0.989,2108
0.99,2108
0.991,2101
0.992,2106.5
0.993,2099.5
0.994,2103
0.995,2104
0.996,2103.5
0.997,2109
0.998,2108
0.999,2104.5
1,2104
